trunk_angle,head_forward,shoulder_tilt,trunk_variance,label
10.542648153946896,0.2562258504331111,0.01879075169563288,0.0,needs_correction
10.788152673111512,0.30961685068905337,0.02682739496231079,0.015068117232562288,needs_correction
10.929973147294824,0.3032213747501372,0.033609688282012884,0.02560068514442229,needs_correction
17.54442021104904,0.28376517072319973,0.038926154375076294,8.665829944331962,needs_correction
15.072571017857754,0.28996654227375973,0.04225587844848633,8.032035054646594,needs_correction
13.406338539274289,0.2969956882297992,0.03928637504577637,6.719137010236501,needs_correction
14.752213600268508,0.29787630960345257,0.03734961152076721,6.115165327388517,needs_correction
14.219890141205523,0.2916205823421478,0.034537434577941895,5.445162263881463,needs_correction
12.823696399380296,0.2911184951663016,0.03423073887825018,4.873751478779656,needs_correction
12.89969248872724,0.2960050627589225,0.030936717987060547,4.40400041107523,needs_correction
12.764060584219779,0.2959115728735923,0.021548300981521662,4.027194439720089,needs_correction
12.492767445423997,0.296993713825941,0.02080944180488581,3.7353296940360963,needs_correction
12.429389237433995,0.2644243277609347,0.03855243325233454,3.4886843026819863,needs_correction
16.751513539083863,0.2947499454021453,0.0441744327545166,4.110282931794948,needs_correction
17.91163123251163,0.2958442457020282,0.04359844326972956,5.110122370278706,needs_correction
17.963331545788844,0.29572507739067067,0.04376682639122009,5.861444028362742,needs_correction
15.416923796424658,0.3084915690124034,0.04391452670097351,5.634852561175576,needs_correction
15.448570820085818,0.29764904826879496,0.0409260094165802,5.425653871853644,needs_correction
16.775006037900965,0.2976788729429244,0.039871603250503596,5.491602258984773,needs_correction
16.63386113276193,0.30033337697386736,0.0395297110080719,5.484780515503997,needs_correction
18.479387623186096,0.29792502149939537,0.039754390716552734,5.986351167069062,needs_correction
19.36211524197792,0.2976154386997223,0.0397222638130188,6.7091270124799545,needs_correction
20.377030501883826,0.29728029668331135,0.03983277082443237,7.714993798234149,needs_correction
21.00800550985418,0.29520708322525013,0.042250961065292414,8.818540943503598,needs_correction
13.101741908980301,0.2959444615989922,0.03289678692817688,8.64851047183108,needs_correction
14.419053575017164,0.29513489827513684,0.0356667041778565,8.338187983866483,needs_correction
12.217892157928684,0.30566808395087713,0.04606127738952631,8.339329117324363,needs_correction
13.239533746525872,0.30356720089912415,0.038501620292663574,8.155220515649,needs_correction
16.62348790370529,0.31275079771876324,0.038946628570556585,7.962643409988447,needs_correction
14.990499419562127,0.3138372823596,0.042584955692291204,7.697328870732267,needs_correction
14.05582878315071,0.3152348846197127,0.04287800192832952,7.040248270606255,needs_correction
13.037567355802642,0.317298449575901,0.043443888425827026,6.547189134545467,needs_correction
12.23598645349131,0.31284427642822255,0.04341709613800049,6.227037074672398,needs_correction
12.626051083060194,0.31297637335956097,0.04354900121688843,6.2646107258266905,needs_correction
14.155210129908008,0.27902346849441517,0.0588983297348023,6.29449679660434,needs_correction
15.922434360829309,0.28437951207160944,0.05199754238128662,6.216527279309206,needs_correction
17.76309176820346,0.29803353920578946,0.042932033538818415,6.424543952142655,needs_correction
17.989878672080643,0.30179813876748074,0.04025930166244501,6.618206470217151,needs_correction
21.582691610929935,0.2365542277693748,0.06434154510498052,7.587556335975443,needs_correction
22.141970582949764,0.23897850513458246,0.07103490829467773,8.621244991279791,needs_correction
21.529794970541055,0.25995820015668863,0.07046917080879211,9.207739871807552,needs_correction
11.007713768258881,0.155175432562828,0.04550981521606451,9.654683286787598,needs_correction
11.255704083762936,0.2792380694299935,0.042265027761459406,9.99722708617295,needs_correction
14.889666305158396,0.26740735024213785,0.04234668612480158,10.04056628909444,needs_correction
11.23213312202755,0.26564815640449513,0.04367902874946594,10.688706901238858,needs_correction
13.485559574740732,0.25779042765498156,0.04855066537857061,10.72363263878314,needs_correction
21.073657724509843,0.24813235551118845,0.027618765830993597,11.62275118643924,needs_correction
14.73997048815712,0.21352032944560045,0.03625640273094183,11.662871674499966,needs_correction
14.154246187046674,0.24289081618189803,0.042669326066970825,11.736854923120791,needs_correction
13.365131281855257,0.25092728063464154,0.04270529747009277,11.909098932714718,needs_correction
15.432415037461329,0.2558028399944305,0.04455441236495972,11.650868071703028,needs_correction
15.006109104042341,0.2578177638351916,0.0459889173507691,11.1795936557273,needs_correction
14.40841857212403,0.2577144168317317,0.0465704500675202,10.382372992293021,needs_correction
11.04099407927484,0.2459478117525577,0.04790765047073359,9.783753082852497,needs_correction
